image,ground_truth,ocr_text,is_correct,confidence,config_id,use_angle_cls,lang,use_gpu,ocr_version
"1755868072_0.9_(70, 117, 3)_Z7P-666.jpg",Z7P-666,Z7P-666,True,0.9624847173690796,1,True,en,True,PP-OCRv4
"1755806845_0.91_(44, 98, 3)_A3C-786.jpg",A3C-786,A3C-786,True,0.9913932085037231,1,True,en,True,PP-OCRv4
"1755801939_0.9_(48, 90, 3)_AYJ-561.jpg",AYJ-561,AYJ-561,True,0.9909199476242065,1,True,en,True,PP-OCRv4
"1755809021_0.9_(53, 108, 3)_Z40-588.jpg",Z4O-588,Z40-588,False,0.9879412055015564,1,True,en,True,PP-OCRv4
"1755873119_0.91_(46, 95, 3)_42E-705.jpg",42E-705,42E:705,False,0.8800381422042847,1,True,en,True,PP-OCRv4
"1755801190_0.9_(46, 98, 3)_V9K-468.jpg",V9K-468,V9K-468,True,0.9947934746742249,1,True,en,True,PP-OCRv4
"1755867860_0.91_(49, 93, 3)_Z1S-762.jpg",Z1S-762,Z1S-762,True,0.992942214012146,1,True,en,True,PP-OCRv4
"1755871316_0.9_(51, 102, 3)_Z7M-111.jpg",Z7M-111,Z7M-111,True,0.9920679330825806,1,True,en,True,PP-OCRv4
"1755803736_0.9_(50, 103, 3)_BTQ-272.jpg",BTQ-272,BTQ-272,True,0.9947493672370911,1,True,en,True,PP-OCRv4
"1755866735_0.9_(46, 95, 3)_Z5Q-767.jpg",Z5Q-767,Z5Q-767,True,0.9923954606056213,1,True,en,True,PP-OCRv4
"1755804067_0.91_(63, 110, 3)_Z7G-042.jpg",Z7G-042,Z7G-042,True,0.9645178914070129,1,True,en,True,PP-OCRv4
"1755804243_0.9_(49, 94, 3)_Z7Y-445.jpg",Z7Y-445,Z7Y-445,True,0.9800664186477661,1,True,en,True,PP-OCRv4
"1755802650_0.9_(58, 114, 3)_A2E-705.jpg",A2E-705,A2E-705,True,0.9063917994499207,1,True,en,True,PP-OCRv4
"1755803288_0.91_(47, 96, 3)_ASJ-523.jpg",ASJ-523,ASJ-523,True,0.9947894811630249,1,True,en,True,PP-OCRv4
"1755801494_0.91_(48, 101, 3)_BCF-122.jpg",BCF-122,BCF-122,True,0.9964359998703003,1,True,en,True,PP-OCRv4
"1755801598_0.92_(53, 108, 3)_A5G-752.jpg",A5G-752,A5G-752,True,0.978722870349884,1,True,en,True,PP-OCRv4
"1755807086_0.91_(45, 90, 3)_Z4Y-618.jpg",Z4Y-618,Z4Y-618,True,0.9781445264816284,1,True,en,True,PP-OCRv4
"1755803163_0.9_(54, 107, 3)_V1H-723.jpg",V1H-723,1H-723,False,0.9880185723304749,1,True,en,True,PP-OCRv4
"1755872312_0.9_(50, 97, 3)_Z7X-826.jpg",Z7X-826,Z7X-826,True,0.9920411705970764,1,True,en,True,PP-OCRv4
"1755802716_0.91_(47, 95, 3)_V4L-658.jpg",V4L-658,V4L-658,True,0.9907979369163513,1,True,en,True,PP-OCRv4
"1755805788_0.91_(48, 98, 3)_CRG-314.jpg",CRG-314,CRG-314,True,0.997660219669342,1,True,en,True,PP-OCRv4
"1755802589_0.9_(48, 98, 3)_Z4Q-264.jpg",Z4Q-264,Z4Q-264,True,0.9945677518844604,1,True,en,True,PP-OCRv4
"1755871358_0.9_(48, 96, 3)_CRO-577.jpg",CRO-577,CRO-577,True,0.9839547872543335,1,True,en,True,PP-OCRv4
"1755809037_0.9_(61, 113, 3)_Z2N-738.jpg",Z2N-738,Z2N-738,True,0.9820995926856995,1,True,en,True,PP-OCRv4
"1755866685_0.9_(48, 96, 3)_Z6F-642.jpg",Z6F-642,Z6F-642,True,0.9923301935195923,1,True,en,True,PP-OCRv4
"1755804330_0.91_(51, 102, 3)_Z8S-813.jpg",Z8S-813,Z8S-813,True,0.9903169274330139,1,True,en,True,PP-OCRv4
"1755804345_0.91_(46, 94, 3)_BLH-257.jpg",BLH-257,BLH-257,True,0.9778614044189453,1,True,en,True,PP-OCRv4
"1755803985_0.9_(127, 139, 3)_L2E-770.jpg",Z2E-770,L2E-770,False,0.9583994150161743,1,True,en,True,PP-OCRv4
"1755801570_0.9_(48, 97, 3)_X1J-790.jpg",X1J-790,X1J-790,True,0.9808196425437927,1,True,en,True,PP-OCRv4
"1755867948_0.91_(58, 112, 3)_B3H-759.jpg",B3W-759,B3H-759,False,0.9512194395065308,1,True,en,True,PP-OCRv4
"1755868036_0.9_(48, 100, 3)_Z8L-874.jpg",Z8L-874,Z8L-874,True,0.9904895424842834,1,True,en,True,PP-OCRv4
"1755870055_0.9_(48, 97, 3)_B2C-509.jpg",B2C-509,B2C-509,True,0.9936878085136414,1,True,en,True,PP-OCRv4
"1755871139_0.9_(50, 96, 3)_BSV-176.jpg",BSV-176,BSV-176,True,0.9887953996658325,1,True,en,True,PP-OCRv4
"1755819352_0.91_(49, 108, 3)_D2E-683.jpg",D2E-683,D2E-683,True,0.9782127737998962,1,True,en,True,PP-OCRv4
"1755803979_0.9_(45, 90, 3)_BVH-663.jpg",BVH-663,BVH-663,True,0.9961592555046082,1,True,en,True,PP-OCRv4
"1755868990_0.9_(48, 98, 3)_Z3W-660.jpg",Z3W-660,Z3W-660,True,0.9161472320556641,1,True,en,True,PP-OCRv4
"1755808175_0.91_(44, 89, 3)_F8Q-278.jpg",F8Q-278,F8Q-278,True,0.9906671643257141,1,True,en,True,PP-OCRv4
"1755864638_0.9_(57, 101, 3)_B1B-734.jpg",B1B-734,B1B-734,True,0.9696031212806702,1,True,en,True,PP-OCRv4
"1755803106_0.9_(58, 113, 3)_Z7W-178.jpg",Z7W-178,Z7W-178,True,0.9862862825393677,1,True,en,True,PP-OCRv4
"1755801744_0.9_(66, 118, 3)_Z20-326.jpg",Z20-326,Z20-326,True,0.9445341229438782,1,True,en,True,PP-OCRv4
"1755866521_0.92_(46, 94, 3)_75C-592.jpg",Z5C-592,75C-592,False,0.9726683497428894,1,True,en,True,PP-OCRv4
"1755801314_0.91_(50, 103, 3)_AUJ-187.jpg",AUJ-187,AUJ-182,False,0.8554438352584839,1,True,en,True,PP-OCRv4
"1755867691_0.9_(66, 116, 3)_Z5X-789.jpg",Z5X-789,Z5X-789,True,0.9818764925003052,1,True,en,True,PP-OCRv4
"1755805151_0.91_(50, 101, 3)_Z7W-377.jpg",Z7W-377,Z7W-377,True,0.9727558493614197,1,True,en,True,PP-OCRv4
"1755864122_0.9_(46, 92, 3)_77U-013.jpg",Z7U-013,Z7U-013,True,0.8980398178100586,1,True,en,True,PP-OCRv4
"1755800590_0.9_(54, 109, 3)_A80-757.jpg",A8D-757,A8D-757,True,0.8598114252090454,1,True,en,True,PP-OCRv4
"1755800370_0.91_(52, 105, 3)_Z7P-666.jpg",Z7P-666,Z7P-666,True,0.991060197353363,1,True,en,True,PP-OCRv4
"1755871753_0.91_(60, 106, 3)_Z5L-091.jpg",Z5L-091,Z5L-091,True,0.9752038717269897,1,True,en,True,PP-OCRv4
"1755872299_0.9_(54, 103, 3)_Z5G-467.jpg",Z5G-467,Z5G-467,True,0.9919481873512268,1,True,en,True,PP-OCRv4
"1755808414_0.9_(59, 111, 3)_F8Q-278.jpg",F8Q-278,F8Q-278,True,0.9939366579055786,1,True,en,True,PP-OCRv4
"1755802608_0.91_(49, 97, 3)_BKM-032.jpg",BKM-032,BKM-032,True,0.9855974912643433,1,True,en,True,PP-OCRv4
"1755867815_0.9_(61, 111, 3)_Z5G-950.jpg",Z5G-950,Z5G-950,True,0.9892606735229492,1,True,en,True,PP-OCRv4
"1755868156_0.9_(49, 92, 3)_AYJ-561.jpg",AYJ-561,AYJ-561,True,0.9896643757820129,1,True,en,True,PP-OCRv4
"1755867982_0.91_(52, 101, 3)_Z7N-143.jpg",Z7N-143,Z7N-143,True,0.9921396970748901,1,True,en,True,PP-OCRv4
"1755802269_0.91_(45, 93, 3)_ARE-297.jpg",ARE-297,ARE-297,True,0.9939003586769104,1,True,en,True,PP-OCRv4
"1755800978_0.91_(47, 96, 3)_Z4Q-197.jpg",Z4Q-197,Z4Q-197,True,0.9952442049980164,1,True,en,True,PP-OCRv4
"1755871807_0.9_(48, 99, 3)_Z8A-540.jpg",Z8A-540,Z8A-540,True,0.9919701814651489,1,True,en,True,PP-OCRv4
"1755869713_0.9_(60, 112, 3)_APF-394.jpg",APF-394,APF-394,True,0.9913506507873535,1,True,en,True,PP-OCRv4
"1755864262_0.91_(57, 109, 3)_Z7S-597.jpg",Z7S-597,Z7S-597,True,0.9898606538772583,1,True,en,True,PP-OCRv4
"1755868151_0.9_(47, 95, 3)_Z7J-697.jpg",Z7J-697,Z7J-697,True,0.9413427710533142,1,True,en,True,PP-OCRv4
"1755868377_0.91_(52, 105, 3)_Z7U-204.jpg",Z7U-204,Z7U-204,True,0.9503511190414429,1,True,en,True,PP-OCRv4
"1755801315_0.9_(57, 110, 3)_AUJ-182.jpg",AUJ-182,AUJ-182,True,0.9354649186134338,1,True,en,True,PP-OCRv4
"1755803979_0.9_(48, 97, 3)_8VH-663.jpg",8VH-663,VH-663,False,0.9934861063957214,1,True,en,True,PP-OCRv4
"1755801586_0.9_(53, 100, 3)_Z6M-106.jpg",Z6M-106,Z6M-106,True,0.9874628186225891,1,True,en,True,PP-OCRv4
"1755801305_0.91_(48, 98, 3)_Z8U-888.jpg",Z8U-888,Z8U-888,True,0.8792839050292969,1,True,en,True,PP-OCRv4
"1755868129_0.91_(45, 95, 3)_V4E-442.jpg",V4E-442,14E-442,False,0.9259697198867798,1,True,en,True,PP-OCRv4
"1755801695_0.9_(46, 96, 3)_X1Q-323.jpg",X1Q-323,X1Q-323,True,0.9928826093673706,1,True,en,True,PP-OCRv4
"1755863701_0.91_(55, 111, 3)_Z1J-781.jpg",Z1J-781,Z1J-781,True,0.9795092344284058,1,True,en,True,PP-OCRv4
"1755867829_0.91_(58, 113, 3)_F5P-410.jpg",F5P-410,F5P-410,True,0.9807101488113403,1,True,en,True,PP-OCRv4
"1755800317_0.9_(45, 93, 3)_VAJ-632.jpg",VAJ-632,VAJ-632,True,0.9811521172523499,1,True,en,True,PP-OCRv4
"1755867891_0.9_(50, 96, 3)_Z3C-048.jpg",Z3C-048,Z3C-048,True,0.9800419807434082,1,True,en,True,PP-OCRv4
"1755810848_0.9_(64, 109, 3)_AJV-939.jpg",AJV-939,AJV-939,True,0.9837441444396973,1,True,en,True,PP-OCRv4
"1755868921_0.91_(61, 107, 3)_X3Y-506.jpg",X3Y-506,X3Y-506,True,0.9879006147384644,1,True,en,True,PP-OCRv4
"1755872884_0.9_(51, 103, 3)_V1T-101.jpg",V1T-101,V1T-101,True,0.9887603521347046,1,True,en,True,PP-OCRv4
"1755804076_0.9_(51, 103, 3)_BJG-541.jpg",BJG-541,BJG-541,True,0.9942182302474976,1,True,en,True,PP-OCRv4
"1755867723_0.91_(51, 100, 3)_BYU-726.jpg",BYU-726,BYU-726,True,0.9038103818893433,1,True,en,True,PP-OCRv4
"1755800256_0.9_(49, 104, 3)_Z4X-018.jpg",Z4X-018,Z4X-018,True,0.9851140379905701,1,True,en,True,PP-OCRv4
"1755867230_0.91_(55, 108, 3)_Z5F-631.jpg",Z5F-631,Z5F-631,True,0.9923468828201294,1,True,en,True,PP-OCRv4
"1755801843_0.91_(49, 100, 3)_Z7S-416.jpg",Z7S-416,Z7S-416,True,0.9936915040016174,1,True,en,True,PP-OCRv4
"1755801647_0.92_(59, 102, 3)_Z7U-204.jpg",Z7U-204,Z7U-204,True,0.9581640958786011,1,True,en,True,PP-OCRv4
"1755866869_0.9_(49, 99, 3)_AUM-201.jpg",AUM-201,AUM-201,True,0.9597911834716797,1,True,en,True,PP-OCRv4
"1755804033_0.91_(51, 96, 3)_V4E-661.jpg",V4E-661,V4E-661,True,0.9848394393920898,1,True,en,True,PP-OCRv4
"1755803168_0.91_(53, 106, 3)_Z4Y-573.jpg",Z4Y-573,Z4Y-573,True,0.9913889765739441,1,True,en,True,PP-OCRv4
"1755870633_0.9_(49, 99, 3)_Z8C-747.jpg",Z8C-747,Z8C-747,True,0.9907364845275879,1,True,en,True,PP-OCRv4
"1755867409_0.91_(50, 96, 3)_Y2C-212.jpg",Y2C-212,Y2C-212,True,0.9849763512611389,1,True,en,True,PP-OCRv4
"1755867626_0.9_(51, 99, 3)_BEX-018.jpg",BEX-018,BEX-018,True,0.9879154562950134,1,True,en,True,PP-OCRv4
"1755801852_0.9_(52, 97, 3)_V71-420.jpg",V71-420,V71-420,True,0.9745163321495056,1,True,en,True,PP-OCRv4
"1755801418_0.9_(57, 108, 3)_07W-870.jpg",D7W-870,D7W-870,True,0.8780278563499451,1,True,en,True,PP-OCRv4
"1755872110_0.9_(51, 96, 3)_VOT-812.jpg",V0T-812,VOT-812,False,0.9894022941589355,1,True,en,True,PP-OCRv4
"1755800467_0.91_(58, 105, 3)_B1B-164.jpg",B1B-164,B1B-164,True,0.9900559782981873,1,True,en,True,PP-OCRv4
"1755871157_0.92_(130, 134, 3)_L2N-738.jpg",L2N-738,Z2N-738,False,0.9137182235717773,1,True,en,True,PP-OCRv4
"1755800323_0.9_(52, 105, 3)_CRO-577.jpg",CRO-577,CRO-577,True,0.9405750632286072,1,True,en,True,PP-OCRv4
"1755868233_0.9_(51, 109, 3)_Z6E-393.jpg",Z6E-393,Z6E-393,True,0.991576075553894,1,True,en,True,PP-OCRv4
"1755867898_0.9_(58, 110, 3)_Z5Q-765.jpg",Z5Q-765,Z5Q-765,True,0.9287834167480469,1,True,en,True,PP-OCRv4
"1755805271_0.9_(64, 111, 3)_Z1V-042.jpg",Z1V-042,Z1V-042,True,0.9648941159248352,1,True,en,True,PP-OCRv4
"1755869394_0.9_(47, 96, 3)_Z5B-649.jpg",Z5B-649,Z5B-649,True,0.9548379778862,1,True,en,True,PP-OCRv4
"1755873458_0.91_(51, 98, 3)_W1A-763.jpg",W1A-763,W1A-763,True,0.9701278805732727,1,True,en,True,PP-OCRv4
"1755806233_0.9_(49, 96, 3)_BWQ-500.jpg",BWQ-500,BHQ-500,False,0.9420809149742126,1,True,en,True,PP-OCRv4
"1755803697_0.9_(67, 126, 3)_Z2E-770.jpg",Z2E-770,Z2E-770,True,0.9862326383590698,1,True,en,True,PP-OCRv4
"1755802437_0.92_(48, 98, 3)_Z6Y-080.jpg",Z6Y-080,Z6Y-080,True,0.9765620231628418,1,True,en,True,PP-OCRv4
"1755800793_0.91_(46, 92, 3)_V1I-104.jpg",V1I-104,V1I-104,True,0.9719488024711609,1,True,en,True,PP-OCRv4
"1755870444_0.91_(48, 97, 3)_ACL-585.jpg",ACL-585,ACL-585,True,0.9943423867225647,1,True,en,True,PP-OCRv4
"1755801534_0.91_(60, 117, 3)_Z2G-323.jpg",Z2G-323,Z2G-323,True,0.9921396374702454,1,True,en,True,PP-OCRv4
"1755807199_0.9_(46, 102, 3)_A5U-739.jpg",A5U-739,A5U-739,True,0.9644795060157776,1,True,en,True,PP-OCRv4
"1755800341_0.9_(44, 91, 3)_V8U-524.jpg",V8U-524,V8U-524,True,0.9583984017372131,1,True,en,True,PP-OCRv4
"1755866976_0.9_(52, 108, 3)_B2U-796.jpg",B2U-796,B2U-796,True,0.95846027135849,1,True,en,True,PP-OCRv4
"1755868766_0.9_(51, 102, 3)_AYA-568.jpg",AYA-568,AYA-568,True,0.9834074974060059,1,True,en,True,PP-OCRv4
"1755802585_0.91_(42, 94, 3)_VBX-425.jpg",VBX-425,VBX-425,True,0.9949424862861633,1,True,en,True,PP-OCRv4
"1755868044_0.91_(50, 97, 3)_D1I-153.jpg",D1I-153,D1I-153,True,0.9130540490150452,1,True,en,True,PP-OCRv4
"1755871079_0.9_(62, 114, 3)_Z4J-763.jpg",Z4J-763,Z4J-763,True,0.9486855268478394,1,True,en,True,PP-OCRv4
"1755868815_0.9_(51, 114, 3)_B30-733.jpg",B30-733,B30-733,True,0.982110857963562,1,True,en,True,PP-OCRv4
"1755810245_0.9_(48, 95, 3)_BJU-400.jpg",BJU-400,BJU-400,True,0.9521441459655762,1,True,en,True,PP-OCRv4
"1755866962_0.9_(59, 110, 3)_B3W-759.jpg",B3W-759,B3H-759,False,0.9293564558029175,1,True,en,True,PP-OCRv4
"1755801417_0.91_(51, 103, 3)_D7W-870.jpg",D7W-870,D7W-870,True,0.9833452105522156,1,True,en,True,PP-OCRv4
"1755862816_0.9_(48, 104, 3)_Z3V-720.jpg",Z3V-720,Z3V-720,True,0.9863514304161072,1,True,en,True,PP-OCRv4
"1755808962_0.9_(46, 91, 3)_Z1T-535.jpg",Z1T-535,Z1T-535,True,0.9905714988708496,1,True,en,True,PP-OCRv4
"1755872070_0.9_(52, 103, 3)_B1B-734.jpg",B1B-734,B1B-734,True,0.9718383550643921,1,True,en,True,PP-OCRv4
"1755801294_0.91_(52, 106, 3)_A5G-752.jpg",A5G-752,A5G-752,True,0.9380049109458923,1,True,en,True,PP-OCRv4
"1755868919_0.9_(51, 100, 3)_Z4G-081.jpg",Z4G-081,Z4G-081,True,0.9853850603103638,1,True,en,True,PP-OCRv4
"1755868553_0.9_(51, 109, 3)_B2U-796.jpg",B2U-796,B2U-796,True,0.9653374552726746,1,True,en,True,PP-OCRv4
"1755867812_0.91_(54, 103, 3)_Y3T-626.jpg",X3T-626,Y3T-626,False,0.9231854677200317,1,True,en,True,PP-OCRv4
"1755870785_0.9_(119, 121, 3)_L8C-206.jpg",L8C-206,L8C-206,True,0.9714402556419373,1,True,en,True,PP-OCRv4
"1755870914_0.9_(47, 99, 3)_AOT-720.jpg",AOT-720,AOT-720,True,0.9190390706062317,1,True,en,True,PP-OCRv4
"1755809784_0.91_(49, 100, 3)_Z7B-669.jpg",Z7B-669,Z7B-669,True,0.9908534288406372,1,True,en,True,PP-OCRv4
"1755868058_0.91_(46, 97, 3)_72Y-720.jpg",72Y-720,72Y-728,False,0.8468757271766663,1,True,en,True,PP-OCRv4
"1755808464_0.9_(50, 104, 3)_BUY-632.jpg",BUY-632,BUY-632,True,0.9802020788192749,1,True,en,True,PP-OCRv4
"1755867108_0.9_(46, 94, 3)_V9Q-064.jpg",V9Q-064,V9Q-064,True,0.9751380681991577,1,True,en,True,PP-OCRv4
"1755801849_0.91_(53, 105, 3)_Z3V-367.jpg",Z3V-367,Z3V-367,True,0.9887553453445435,1,True,en,True,PP-OCRv4
"1755809796_0.91_(121, 126, 3)_Z1J-781.jpg",Z1J-781,Z1J-781,True,0.9373637437820435,1,True,en,True,PP-OCRv4
"1755867382_0.9_(64, 116, 3)_BDM-402.jpg",BDM-402,BDM-402,True,0.9955941438674927,1,True,en,True,PP-OCRv4
"1755871836_0.9_(58, 116, 3)_V3C-453.jpg",V3C-453,V3C-453,True,0.9884104132652283,1,True,en,True,PP-OCRv4
"1755873449_0.9_(55, 105, 3)_Z5G-139.jpg",Z5G-139,Z5G-139,True,0.9924408793449402,1,True,en,True,PP-OCRv4
"1755806301_0.9_(53, 110, 3)_A0T-720.jpg",A0T-720,AOT-720,False,0.936951220035553,1,True,en,True,PP-OCRv4
"1755801123_0.9_(52, 100, 3)_W1A-763.jpg",W1A-763,W1A-763,True,0.9879941940307617,1,True,en,True,PP-OCRv4
"1755863223_0.9_(45, 94, 3)_BBP-662.jpg",BBP-662,BBP-662,True,0.9937604665756226,1,True,en,True,PP-OCRv4
"1755801176_0.9_(50, 108, 3)_Z2G-146.jpg",Z2G-146,Z2G-146,True,0.9931296706199646,1,True,en,True,PP-OCRv4
"1755802415_0.91_(44, 95, 3)_Z7Y-245.jpg",Z7Y-245,Z7Y-245,True,0.9848662614822388,1,True,en,True,PP-OCRv4
"1755800344_0.91_(47, 96, 3)_Z7U-204.jpg",Z7U-204,Z7U-204,True,0.9180546402931213,1,True,en,True,PP-OCRv4
"1755867109_0.9_(55, 105, 3)_19Q-064.jpg",V9Q-064,19Q-064,False,0.9552789330482483,1,True,en,True,PP-OCRv4
"1755800807_0.9_(50, 104, 3)_X20-934.jpg",X2O-934,X20-934,False,0.9630922675132751,1,True,en,True,PP-OCRv4
"1755866191_0.9_(48, 98, 3)_BKQ-659.jpg",BKQ-659,BKQ-659,True,0.99247807264328,1,True,en,True,PP-OCRv4
"1755870135_0.9_(51, 104, 3)_Z4T-372.jpg",Z4T-372,Z4T-372,True,0.9893166422843933,1,True,en,True,PP-OCRv4
"1755801483_0.91_(50, 100, 3)_X4H-470.jpg",X4W-470,X4H-470,False,0.9330905079841614,1,True,en,True,PP-OCRv4
"1755866167_0.9_(49, 100, 3)_Z2M-424.jpg",Z2M-424,Z2M-424,True,0.9938039183616638,1,True,en,True,PP-OCRv4
"1755801662_0.91_(73, 117, 3)_598-655.jpg",F9B-655,598-655,False,0.90009605884552,1,True,en,True,PP-OCRv4
"1755866333_0.9_(56, 104, 3)_APH-716.jpg",APH-716,APH-716,True,0.9943289756774902,1,True,en,True,PP-OCRv4
"1755868077_0.9_(47, 95, 3)_Z70-399.jpg",Z7O-399,Z70-399,False,0.934482753276825,1,True,en,True,PP-OCRv4
"1755867716_0.9_(48, 95, 3)_Z4J-227.jpg",Z4J-227,Z4J-227,True,0.9849984049797058,1,True,en,True,PP-OCRv4
"1755800425_0.9_(58, 119, 3)_B3W-759.jpg",B3W-759,B3W-759,True,0.9898051619529724,1,True,en,True,PP-OCRv4
"1755802353_0.9_(62, 107, 3)_AAO-576.jpg",AAO-576,AAO-576,True,0.9549669027328491,1,True,en,True,PP-OCRv4
"1755864280_0.91_(47, 95, 3)_Z5Y-572.jpg",Z5Y-572,Z5Y-572,True,0.9030016660690308,1,True,en,True,PP-OCRv4
"1755862951_0.9_(43, 96, 3)_A5K-770.jpg",A5K-770,A5K-770,True,0.9920005202293396,1,True,en,True,PP-OCRv4
"1755868214_0.91_(50, 106, 3)_45E-785.jpg",45E-785,45E-785,True,0.9834515452384949,1,True,en,True,PP-OCRv4
"1755870662_0.91_(48, 96, 3)_AOT-720.jpg",A0T-720,AOT-720,False,0.8858371376991272,1,True,en,True,PP-OCRv4
"1755869536_0.91_(52, 103, 3)_Z8S-813.jpg",Z8S-813,Z8S-813,True,0.9863660931587219,1,True,en,True,PP-OCRv4
"1755871886_0.9_(50, 104, 3)_Z6D-367.jpg",Z6D-367,Z6D-367,True,0.9818239212036133,1,True,en,True,PP-OCRv4
"1755802708_0.9_(52, 102, 3)_BHG-267.jpg",BHG-267,BHG-267,True,0.9915884137153625,1,True,en,True,PP-OCRv4
"1755867935_0.91_(57, 107, 3)_A80-757.jpg",A8D-757,A80-757,False,0.8916312456130981,1,True,en,True,PP-OCRv4
"1755806181_0.9_(41, 100, 3)_VAQ-104.jpg",VAQ-104,VAQ-104,True,0.9967344999313354,1,True,en,True,PP-OCRv4
"1755865999_0.9_(52, 101, 3)_Z7U-013.jpg",Z7U-013,Z7U-013,True,0.9044066071510315,1,True,en,True,PP-OCRv4
"1755872606_0.91_(48, 99, 3)_CRO-577.jpg",CRO-577,CRO-577,True,0.9842732548713684,1,True,en,True,PP-OCRv4
"1755802962_0.91_(63, 114, 3)_Z6D-367.jpg",Z6D-367,Z6D-367,True,0.987453043460846,1,True,en,True,PP-OCRv4
"1755872180_0.9_(48, 98, 3)_A9K-715.jpg",A9K-715,A9K-715,True,0.9895906448364258,1,True,en,True,PP-OCRv4
"1755801565_0.91_(64, 115, 3)_Z5Q-118.jpg",Z5Q-118,Z5Q-118,True,0.9904502630233765,1,True,en,True,PP-OCRv4
"1755807211_0.9_(44, 96, 3)_BEP-534.jpg",BEP-534,BEP-534,True,0.9940692782402039,1,True,en,True,PP-OCRv4
"1755868068_0.9_(47, 97, 3)_BPW-164.jpg",BPW-164,BPW-164,True,0.9927203059196472,1,True,en,True,PP-OCRv4
"1755872398_0.9_(49, 101, 3)_F3F-041.jpg",F3F-041,F3F-041,True,0.9845722913742065,1,True,en,True,PP-OCRv4
"1755867236_0.91_(49, 97, 3)_Z7C-220.jpg",Z7C-220,Z7C-220,True,0.9905281066894531,1,True,en,True,PP-OCRv4
"1755801183_0.9_(61, 112, 3)_Z2N-051.jpg",Z2N-051,Z2N-051,True,0.9827660918235779,1,True,en,True,PP-OCRv4
"1755803790_0.9_(66, 113, 3)_Z3J-707.jpg",Z3J-707,Z3J-707,True,0.9854540824890137,1,True,en,True,PP-OCRv4
"1755807186_0.9_(47, 95, 3)_Z7M-595.jpg",Z7M-595,Z7M-595,True,0.9924506545066833,1,True,en,True,PP-OCRv4
"1755868252_0.9_(49, 98, 3)_V5B-631.jpg",V5B-631,V5B-631,True,0.9624847769737244,1,True,en,True,PP-OCRv4
"1755866274_0.9_(52, 105, 3)_Z5U-453.jpg",Z5U-453,Z5U-453,True,0.9421504735946655,1,True,en,True,PP-OCRv4
"1755801139_0.9_(47, 97, 3)_CBM-487.jpg",CBM-487,CBM-487,True,0.9954094290733337,1,True,en,True,PP-OCRv4
"1755863582_0.9_(50, 94, 3)_Z1D-784.jpg",Z1D-784,Z1D-784,True,0.9725955724716187,1,True,en,True,PP-OCRv4
"1755801091_0.91_(46, 101, 3)_Z5V-445.jpg",Z5V-445,Z5V-445,True,0.9845705032348633,1,True,en,True,PP-OCRv4
"1755868148_0.9_(60, 106, 3)_X3H-030.jpg",X3H-030,X3H-030,True,0.9604182243347168,1,True,en,True,PP-OCRv4
"1755809798_0.91_(46, 99, 3)_BXU-498.jpg",BXU-498,BXU-498,True,0.9242362380027771,1,True,en,True,PP-OCRv4
"1755806583_0.9_(58, 110, 3)_Z7H-075.jpg",Z7H-075,Z7H-075,True,0.9806097149848938,1,True,en,True,PP-OCRv4
